略称,Year,Paper URL,Website URL,Challenge Tag,Sub-Challeng Tag,How to Solve,Training Type,Dataset,Evaluation
OTTER,2021,https://arxiv.org/pdf/2503.03734,https://ottervla.github.io/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Introdues a text-aware feature extraction which preserves semantics aligned with task descriptions,BC,OXE; DS-PnP;DS-ALL,LIBERO;Real-Robot Evaluation
LIV,2023,https://proceedings.mlr.press/v202/ma23b/ma23b.pdf,https://penn-pal-lab.github.io/LIV/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Introdues a contrastive framework on robot-control data to construct a joint vision-language embedding space,RL,EPIC-KITCHENS-100;MetaWorld;Franka Kitchen;Self-built Data,Franka Kitchen;Self-built Data;MetaWorld;Franka Kitchen
ACT-LLM,2025,https://arxiv.org/pdf/2506.21250,https://github.com/jonyzhang2023/awesome-embodied-vla-va-vln,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Formulates raw per- ceptual inputs into structured language representation,RL,CLIPORT,CLIPORT;VIMA-Bench
Look-Leap,2023,https://arxiv.org/pdf/2311.17842,robot-vila.github.io,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Structured action-plan generation from visual inputs,Predictive Modeling,Self-built Data,CLIPORT;Self-built Data
RT-2,2023,https://arxiv.org/abs/2307.15818,https://robotics-transformer.github.io/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Fine-tuning a pretrained VLM to directly output action tokens,BC,WebLI;Language Table,Seen Tasks;Self-built Data
Prompt-a-Robot-to-Walk,2023,https://arxiv.org/abs/2309.09969,https://prompt2walk.github.io/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Fine-tuning a pretrained VLM to directly output action tokens,BC and Predictive Modeling,None,MuJoCo;Isaac Gym
Grounding MLLMs,2024,https://arxiv.org/pdf/2406.07904,https://github.com/mbzuai-oryx/groundingLMM,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Fine-tuning a pretrained VLM to directly output action tokens,BC,CALVIN;MetaWorld;Habitat Pick,CALVIN;MetaWorld;Habitat Pick
OpenVLA,2024,https://arxiv.org/pdf/2406.09246,https://openvla.github.io/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Fine-tuning a pretrained VLM to directly output action tokens,BC,OXE,Bridge Data;Google Robot
CLIP-RT,2024,https://arxiv.org/pdf/2411.00508,https://clip-rt.github.io,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Extends CLIP-style vision-language alignment,BC,OXE,LIBERO
Humanoid-VLA,2025,https://arxiv.org/pdf/2502.14795,https://github.com/AllenXuuu/HumanVLA,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Pre-training language-action,BC and Predictive Modeling and RL,Motion Capture;Online Videos;Synthetic Data,Isaac Gym;T2M
VoxPoser,2023,https://arxiv.org/pdf/2307.05973,https://voxposer.github.io/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Generate intermediate programs and 3D affordance maps as strong intermediate representations by LLM,BC,Online Experiences,RLBench
Orion,2025,https://arxiv.org/pdf/2503.19755,https://xiaomi-mlab.github.io/Orion/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Introduces a high-level VLM planner with a separate low-level motion controller,BC,Bench2Drive base set; Chat-B2D Dataset;,nuScenes;Bench2Drive
Gemini RObotics,2025,https://arxiv.org/pdf/2503.20020,https://deepmind.google/blog/gemini-robotics-brings-ai-into-the-physical-world/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Introduces a high-level VLM planner with a separate low-level motion controller,BC and Predictive Modeling,Self-built Data,Manipulation Tasks
KnowledgeVLA,2025,https://arxiv.org/abs/2505.23705,https://www.pi.website/research/knowledge_insulation,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Introduces a high-level VLM planner with a separate low-level motion controller,BC,OXE,LIBERO;DROID
Beyond Sight,2025,https://arxiv.org/pdf/2501.04693,https://fuse-model.github.io/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Incorporating additional modalities,BC ,OXE,Self-built Data;Octo
RH-20T,2023,https://arxiv.org/pdf/2307.00595,https://rh20t.github.io./,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Incorporating additional modalities,BC , RH20T, RH20T
TouchVLA,2025,https://arxiv.org/pdf/2507.17294,https://clear-nus.github.io/blog/vla-touch,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Incorporating additional modalities,BC ,Self-built Data,Self-built Data
TLA,2025,https://arxiv.org/pdf/2503.08548,https://sites.google.com/view/tactile-language-action/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Introduces tactile perception,BC,TLA,Custom Contact-Rich Manipulation Benchmark
OmniVTLA,2025,https://arxiv.org/pdf/2508.08706,https://github.com/linchangyi1/Awesome-Touch,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Constructs a se mantically aligned tactile encoder ,BC ,Self-built Data,Real-Robot Evaluation
Tactile-VLA,2025,https://arxiv.org/pdf/2507.09160,https://jialeihuang.github.io/tactileVLA.github.io/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Ranging from deep fusion across the full pipeline,BC ,Self-built Data,Real-Robot Evaluation
ForceVLA,2025,https://arxiv.org/pdf/2505.22159,https://sites.google.com/view/forcevla2025/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Modular mixture-of-experts (MoE) fusion ,BC ,Force-VLA-Dataset,Force-VLA-Benchmark
MultiGen,2025,https://arxiv.org/html/2507.02864v2,https://multigen-audio.github.io/,Multi-Modal Fusion and Physical World Representation,The GAP between Semantics Perception and Physical Interaction,Uses multimodal generation for simulated multi-modal data,BC ,Self-built Data;EPIC-Kitchens,Real-Robot Evaluation
Depth Helps,2024,https://arxiv.org/pdf/2408.05107,https://gewu-lab.github.io/DepthHelps-IROS2024/,Multi-Modal Fusion and Physical World Representation,From 2D Images to SPatial Temporal Representations,Treats depth as a supervisory signal,BC,LIBERO;Self-built Data,LIBERO
RoboFlamingo-Plus,2025,https://arxiv.org/pdf/2503.19510,-,Multi-Modal Fusion and Physical World Representation,From 2D Images to SPatial Temporal Representations,Fuses preprocessed depth maps  with RGB features,BC ,CALVIN,CALVIN
PointVLA,2025,https://arxiv.org/pdf/2503.07511,https://pointvla.github.io/,Multi-Modal Fusion and Physical World Representation,From 2D Images to SPatial Temporal Representations,integrates point cloud inputs into pretrained VLA models to improve spatial reasoning without modifying the backbone,BC,Self-built Data,Self-built Data
Leo,2023,https://arxiv.org/pdf/2311.12871,https://embodied-generalist.github.io/,Multi-Modal Fusion and Physical World Representation,From 2D Images to SPatial Temporal Representations,unify 2D and 3D modalities,BC,LEO,CLIPORT;AI Habitat ObjNav
